微博id,发布者昵称,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布时间,发布工具,点赞数,转发数,评论数,发布位置
IqIIJqI9K,Cynthia_萌,女,其他,229,1214,Cynthia_萌:说实话，我今天看我妈在看电视时本来说想看看央视新闻台在播什么，其实是想看看有没有关于疫情的实时报道的。但是别说新闻台了，播了一圈的中央台，都没有任何与平时不太一样的地方。可能播的时机不对，也可能根本就真的是歌舞升平吧，相关内容寥寥之寥寥。  ,无,2020-01-22 23:59,小米9,0,0,0,无
IqIIIelq1,茶顏,女,云南,361,327,茶顏:腊月二八。年假订单因为疫情被取消了二十多个间夜之后……依然还是要好好过年呀。客栈里陈年的干花扔掉了，换了新的。紫玫瑰45一把，还是咬咬牙买下了。新年装饰准备年三十带着鹿宝和妈妈一起来做，今天除了打扫完三间房、擦了自住房间的大玻璃窗、给院子里所有花施了肥之外，还列了下年夜饭的菜单。明天要准备买还没有的食材了。越是紧巴巴的日子，越不能露怯和窘迫，毕竟苦中作乐才是我的风格吧，肥肠肥肠累，但，必然的嘛！目光放远，万事皆悲。不过……有眼巴前这点小快乐，也不错吧。加油。 原图 ,无,2020-01-22 23:59,微博 weibo.com,1,0,4,无
IqIIIeG49,iimveve,女,其他,108,6,iimveve:『新型肺炎疫情实时动态 - 人民日报·丁香园』http://t.cn/A6vssLV5  ,无,2020-01-22 23:59,iPhone客户端,0,0,0,无
IqIIHCFwX,哎哟这不是柴犬么,女,江苏,25,32,哎哟这不是柴犬么:好说歹说劝了一天爹妈出门戴口罩，我真的累了。平时我搁家晃悠都嫌我穿的少勒令进被窝，我寻思这emergency怎么就不当回事？？？还非要出门还商场一天逛三次还硬说我们小地方挺安全的，您看看那疫情地图上江苏周围一圈都飙红了好吗，江苏有没有还不就是个时间问题。死宅的我真是当代惜命年轻人典型代表。  ,无,2020-01-22 23:59,荣耀8 美得与众不同,1,0,9,无
IqIIH3jK3,阿七_絕贊修業ver,女,海外,148,203,阿七_絕贊修業ver:17年过去了，我们可以靠的还是同样的人，讽刺且可悲以及我真的不想打开新闻又是拜年半小时疫情五分钟了  ,无,2020-01-22 23:59,iPhone,0,0,2,无
IqIIGcpOT,重庆检察,女,重庆,1737,741688,重庆检察:#主播说联播#【疫情面前，刚强想对医护人员说：护好自己，愿平安】新型冠状病毒引发的肺炎病例仍在增加，专家说，疫情传播途径目前尚未完全掌握，存在进一步扩散的风险。对此，我们宁可把问题估计得更严重一些，采取的措施更严密一些。大家越重视，把预防的措施落实得越好，病毒肆虐的空间就会越小。疫情面前，医护人员冲在了第一线，很多医护人员都是主动报名，一封封朴实的请战书，诠释的何止是职业担当，我们的记者也在一些医院做了实地探访。真的要感谢医护人员，同时也要提醒他们、拜托他们，医护病患的同时也护好自己，你们也是家里的丈夫、妻子、孩子，家人期待你们平安，我们祈愿你们安好。致敬白衣战士，同时也要对武汉说一句：莫慌，加油！@央视新闻 http://t.cn/A6PvZSDV ,无,2020-01-22 23:59,iPhone客户端,27,4,3,无
IqIIGbqUU,玫瑰清空,女,福建,228,146,玫瑰清空:『全国新型肺炎疫情实时动态 - 丁香园·丁香医生』http://t.cn/A6vBv3yL  ,无,2020-01-22 23:59,iPhone客户端,0,0,0,无
IqIIFAHMo,天天小胖友,女,其他,330,333,天天小胖友:祈祷🙏🏻🙏🏻🙏🏻疫情得到控制，没有人死亡，没有人再被传染，确诊的人可以治愈出院。  ,无,2020-01-22 23:59,iPhone客户端,0,0,0,无
IqIIEpD1K,我又长肥啦,女,辽宁,208,965,我又长肥啦:这个也存一下『实时更新|武汉新型肺炎全国疫情地图』实时更新|新冠肺炎疫情地图  ,无,2020-01-22 23:58,OPPO超视野全面屏R15,3,2,0,无
IqIIj8bli,和光55,男,山东,333,45,和光55:#逃离武汉不是个人应对疫情的正确姿势#根据《传染病解释》，无论是故意传播疾病还是过失传播疾病都可能构成犯罪。如果故意传播突发传染病病原体，危害公共安全的，可以按照以危险方法危害公共安全罪定罪处罚。如果患有突发传染病或者疑似突发传染病而拒绝接受检疫、强制隔离或者治疗，过失造成传染病传播，情节严重，危害公共安全的，按照过失以危险方法危害公共安全罪定罪处罚。言尽于此。 ,无,2020-01-22 23:58,HUAWEI P30,2,0,0,无
IqII65o2w,法律人周文涛,男,湖北,293,7708,法律人周文涛:#严厉打击野生动物违法违规交易#17年前的sars就是因为野生动物违规交易食用而引发的，2019年的肺病疫情又是来自野生动物交易，确实要反应，也确实应该好好规制了野生动物的检疫和交易了，希望能够尽快得到落实。还有小区的流浪动物（流浪猫、流浪狗）的收养处置工作，也值得重视。 http://t.cn/R2WxQOQ 显示地图 ,http://t.cn/R2WxQOQ,2020-01-22 23:57,无,2,0,0,无
IqIHBpFyI,Chopper小麦同学,女,其他,487,111,Chopper小麦同学:山西确诊那个就是从太原南站坐高铁回来的，我晚上九点多和我弟戴着口罩去太原南站接我哥，心里都有点慌，我爸和姨夫就是不戴口罩去了以后我开始科普两个人才知道了点疫情严重性，命要紧啊各位还有啊，那几个吃野味的死没死啊？那破嘴还吃不吃啊？大过年的给全国人民添这么大乱子，下八辈子地狱吧 原图 ,无,2020-01-22 23:56,猪猪传呼机Android,1,0,0,无
IqIHwkdeE,歪歪踢斯达迪了吗,女,海外,199,307,歪歪踢斯达迪了吗:#新型肺炎已致湖北17人死亡#    整个疫情发展到现在，我以为至少年轻一代对此已经很重视了，没想到还会得到这样的回复。让我顿悟，原来除了“微博网民”，其余大众好像还沉浸在快要过年的喜悦中呢。     我从上午到现在，每隔一会就会点开【全国疫情情况】查看。眼睁睁地看着324涨到543，看着6涨到17。内心很焦虑也很焦急，而老家的亲戚仍然漠不关心，我恨不得把这些触目惊心的数字镶嵌进他们的脑瓜里。宁愿兢兢业业对待“防火”工作，也不愿火烧眉毛了才来“扑火”。      我真的真的希望大家都不要再抱有侥幸的心态了，戴口罩好过戴呼吸机。希望前线的医务人员都平平安安，也希望大家都努力能唤醒一些“又蠢又坏”的脑瓜吧       大家加油啊 原图 ,无,2020-01-22 23:56,小米Max,14,0,7,无
IqIEn1mFQ,界面新闻,男,北京,828,10108465,界面新闻:【北京疫情变化：新增4例新型肺炎。两位曾往返武汉，一位常驻武汉，一位武汉市民】北京市卫健委发布新型冠状病毒最新疫情，北京市新增4例新型冠状病毒感染的肺炎病例。截至1月22日18时，北京市共确诊14例新型冠状病毒感染的肺炎病例。我市石景山区45岁男性患者，1月11日赴武汉，1月14日返京，1月19日出现发热症状，1月21日在我市医疗机构就诊；西城区42岁男性患者，于1月11日和1月18日两次赴武汉，1月19日返京，1月20日出现发热症状，在我市医疗机构就诊；常住武汉市的33岁女性患者，出现发热症状后，于1月20日在我市医疗机构就诊；武汉市33岁女性患者，1月18日来京，暂住朝阳区，1月20日在我市医疗机构就诊。根据临床症状和流行病学调查，经疾病预防控制中心检测、专家组评估，以上4名患者今日确诊为新型冠状病毒感染的肺炎病例。4名患者病情平稳，在定点医院接受隔离治疗。现已对35名密切接触者开展医学观察，目前无发热等异常情况。 原图 ,无,2020-01-22 23:48,微博 weibo.com,41,12,12,无
IqIEdicDa,比特币归来,男,北京,1574,23902,比特币归来:武汉市长，卫生局长都应该下课。中国是英雄的国家，也是卑鄙小人横行的国家。那些以政治利益高于人民利益的政客必须下台！武汉之前瞒报疫情的事实已经昭然若揭，武汉反应迟缓是导致病毒如此迅速大规模传播重要原因。所以，武汉市长需要下课，让有能力，有担当的人来带领武汉走出阴霾，走向胜利！#新型肺炎已致湖北17人死亡# [组图共2张] 原图 ,无,2020-01-22 23:48,无,4,1,3,无
IqIBGEiH7,Amanda疗愈的花瓣,女,广东,53,1956,Amanda疗愈的花瓣:音频引导-释放对肺炎的恐惧 Amanda疗愈的花瓣的微博视频  ,无,2020-01-22 23:41,OPPO Reno,10,11,2,无
IqIsXk4FV,三亚广播电视台,男,海南,823,57185,三亚广播电视台:#三亚疫情# #新型冠状病毒# 【三亚公布20家开设发热门诊的医疗机构】为进一步方便市民群众看病就医，三亚市新型冠状病毒感染的肺炎疫情防控工作指挥部决定，将三亚中心医院设置为新型冠状病毒感染的肺炎市级医疗救治定点收治医院，将解放军总医院海南医院、南部战区海军第二医院作为后备医疗救治定点收治医院。同时，公布20家设有发热门诊的医疗机构，供市民就近选择就医。市民可通过拨打发热门诊电话进行电话咨询及门诊预约。 温馨提示：为积极有效防控新型冠状病毒感染肺炎疫情的传播，请患有发热、乏力、干咳等症状，特别是发病前2周有武汉市旅行史或居住史，或发病前14天内曾经接触过来自武汉的发热伴有呼吸道症状的患者及时到发热门诊就诊。 原图 ,无,2020-01-22 23:20,微博 weibo.com,5,5,4,无
IqIqzxPNk,Casper刘小鱼,男,山东,352,360,Casper刘小鱼:新疫情爆出来后第一时间想到的就是这个游戏，过去玩挺带感的，现在居然如此苦涩愿大家都安好～  [组图共9张] 原图 ,无,2020-01-22 23:14,Android,1,0,0,无
IqIkzivcv,YIBO加油站丨王一博,女,其他,186,497991,YIBO加油站丨王一博:#王一博无感# wyb#致敬疫情前线医护人员# 特殊时期，各位小摩托一定注意防范！健康第一，戴口罩从我做起！站站已经给我们的头像戴上口罩希望大家能用积极的心态面对但不掉以轻心！再次向奋战在一线的医护人员致敬！愿你们战胜病毒，安全归来！@UNIQ-王一博  原图 ,无,2020-01-22 22:59,王一博超话,932,67,120,无
IqIjylSqI,伊丽莎白骨精啊,女,北京,1097,2097128,伊丽莎白骨精啊:最近这2天，我每天刷微博心情都很压抑沉重。感觉都要喘不过来气了，实时跟踪疫情新闻。春节本来是国人一年到头最热闹最开心的日子。现在搞的人人自危。如果没有那些吃/贩卖野生动物的沙比我本可以毫无负担快快乐乐的过这个春节，可以和朋友搓麻将打牌，可以和家里人聚会吃饭，可以走亲访友，可以出去看电影逛街。而现在我只能在家呆着刷微博，为大年初一要去亲戚家拜年吃饭而提心吊胆。 ,无,2020-01-22 22:57,无,6485,355,589,无
IqIhrFR3u,女巫田老师,女,北京,228,37809,女巫田老师:群摩羯刚过去，水星太阳刚进水瓶，肺炎疫情扩散了。就像是一个提醒：那么多年盯着钱盯着成功，现在突然醒悟，健康地活着就是最大的成功。还有那些盗猎/贩卖/吃野生动物的人，还捶不醒你们，等着被清醒过来的社会捶吧。这次公共危机的震动之大，新的观念推动新规则势在必行。  ,无,2020-01-22 22:51,iPhone XS,1,0,0,无
IqIdutySk,金牌小牙医,女,北京,104,13778,金牌小牙医:疫情过了我们再约吧！保护自己也保护大家惜命 济宁  显示地图 原图 ,无,2020-01-22 22:42,小米8周年旗舰手机,4,0,1,无
IqIdrfbEI,Troye明琛,男,上海,361,2626,Troye明琛:我是MKD(香港)国际集团创始人、坤戴科技集团现任董事局主席、GEST联盟创始人，一位名不见经传的小人物，但是我也时时刻刻牵挂着疫情的发展状况，看到有无数的志愿者、医护工作人员、警察、记者等相关工作人员不论报酬，不记生死的奋斗在一线，我虽然知道自己力量薄弱，但是我也愿尽绵薄之力，因为有你们的逆向而行，才有我们的平安幸福，我和MKD集团致敬奋斗在武汉地区疫情一线的医护工作人员、警察、记者等相关工作人员！我本人及本集团愿为其提供所需要的武汉地区酒店免费住房：武汉世茂希尔顿酒店武汉天河机场希尔顿欢朋酒店等需要请邮件告知您的需求（board@mkdhk.cn），我们会在第一时间联系您💕医者仁心，愿您们平安归来❗️ 疫情虽难，但是团结必胜，武汉加油，中国加油❗️@央视新闻 @环球网 @金星 @联合国 @微博小秘书 @草图君 希望大家转发告知，让更多的需要的人看到。#全国已确诊473例新型肺炎病例##武汉医生的朋友圈# ,无,2020-01-22 22:42,HUAWEI P20,225,11,44,无
IqIblciTn,媒体人刘映,男,北京,12050,136572,媒体人刘映:#榆次[超话]#【[话筒]#全国已确诊473例新型肺炎病例#】#新型肺炎疫情最新汇总#：截至1月22日19时20分，全国新型冠状病毒感染肺炎确诊473例。  大家过年尽量不要外出多和家人一起在家里过年吧！多吃素食还是安全的🙏 须警惕，不轻视❤️少出门，少集聚❤️勤洗手，勤通风❤️戴口罩，讲卫生❤️打喷嚏，捂口鼻❤️喷嚏后，慎揉眼❤️有症状，早就医❤️不恐慌，不谣传❤️防控疫情，我们在一起❤️ 原图 ,无,2020-01-22 22:36,榆次超话,1,0,2,无
IqI9Ez6KJ,ENA钮爱环保科技,男,上海,19,86,ENA钮爱环保科技:#全国已确诊473例新型肺炎病例# 春节将至，一份健康是全家人的心愿！上海钮爱环保科技有限公司（ENA）助力疫情防控，现在微博平台公开抽取100名网友赠送我司核心产品之一：桌面空气净化器T-103！转发此条微博，让我们一起祈福，共护健康，平安武汉，平安中国[人人公益节]·有关产品信息可以在我司企业号：ENA-CHINA内选择对话框输入“消毒”、“杀菌”、“资质”等关键词查询。 http://t.cn/A6vsEJqQ [组图共3张] 原图 ,无,2020-01-22 22:32,微博 weibo.com,36,191,57,无
IqI9i6HUR,祥瑞麒麟-赵芮祺,男,吉林,109,2598,祥瑞麒麟-赵芮祺:#新型冠状病毒#     疫情对中国整体的影响并不会太大，现在爆发类似14世纪黑死病的可能性基本没有，能毁灭人类的不再会是疾病，如果有，也许只能是核战争。    亡羊补牢，死掉的🐑已经不重要了，打死🐺也不是当前首要任务，马上要做的事保护好还在圈里的🐑。     所以现在防护才是第一任务，全国严防死守，不让疫情扩大就行     实时播报：【武汉要求全市在公共场合佩戴口罩】据人民日报，22日，武汉市政府发布通告，武汉公共场所实施佩戴口罩控制措施。各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口單的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任。。 ,无,2020-01-22 22:31,小米MIX 2 全面屏手机,5,0,0,无
IqI9b28Ah,-tkr苏甜甜-,女,江苏,219,79,-tkr苏甜甜-:唔，最近的疫情真的是搞的人心惶惶的，希望大家都能平平安安，快快乐乐过个好年！江苏暂时还没有疫情，一定要继续保持哇[加油]！早上起来洗了个澡，顿时神清气爽哈哈，然后就是去上班啦～上班内容亘古不变啦，就不赘述了…晚上回家把妈妈买的大菠萝蜜给扒开啦！好大好大一个，才扒了一半嘿嘿…很甜！平平安安啊所有人❤️！ http://t.cn/RJy3SRq 显示地图 [组图共3张] 原图 ,无,2020-01-22 22:31,HUAWEI Mate 10,3,0,0,无
IqI95p8Zb,定位价值,男,安徽,355,469,定位价值:本次疫情到今天的的动态发展：12月中旬开启，武汉华南城海鲜市场的商户一群人集体出现不明肺炎，没有特效药。第一批专家组到达武汉。网传香港媒体记者受限…华南城市场正常经营。澎湃新闻等实地走访调查华南城市场后。华南城市场关闭。武汉调查8人发布非典肺炎消息人员。武汉官方发声：有限人传人，部分治愈出院。三联周刊采访一名病毒肺炎患者发现没有集中收治。武汉机场火车站所有地方一切如旧，万人宴…直到2020年1月17，钟南山等新一批成员成立专家组…疫情，人传人，医护人员感染…疫情已经不能不会控制在武汉，22号才启动二级应急方案。第一次有限人传人出现重大误判，造成12月中旬到1月17号之间，部分病源体随着春节、工作、旅游等等流动行为扩散蔓延到新的地方，疫情能控制在武汉，控制武汉能控制疫情？全国各地还没有警觉，到今天为止，春节流动进入一个新的高峰。病毒潜伏时间到底是3-5天，还是半个月到一个月，目前不能确定。病毒二次传播会不会变异，目前不得而知。第一次病例出来，有多少人从武汉流向全国？有多少人出现后去过武汉？有多少人和这些人有过接触？还乐观什么可防可控，口罩戴上。还幻想控制武汉就控制住疫情了吗？ ,无,2020-01-22 22:31,iPhone客户端,3,0,1,无
IqI8YmRln,武汉身边事,女,湖北,2766,1163913,武汉身边事:#武汉肺炎疫情防控# 【#医院新型肺炎隔离区画面曝光# 武汉大学人民医院数百名医务人员奋战一线】22日，国家卫健委通报，截至21日24时，新型肺炎确诊440例死亡9例。武汉大学人民医院的隔离治疗区内，医护人员身着防护服奋战在一线。该院宣传部部长杜巍巍介绍，院方前期已有五六百人投入到疫情的防控工作中。http://t.cn/A6vsAkpm ,无,2020-01-22 22:31,微博 weibo.com,19,1,6,无
IqI8RxxZz,益洞察,女,其他,64,20,益洞察:#广州[超话]#复旦大学新闻学院传播与数据科学实验室联合益普索，希望了解公众对于这次新型肺炎疫情的感受和看法。请进入主页，协助我们完成一份调研问卷。参与调查是匿名和自愿的，您的回答仅作为公众健康方面的学术研究使用。问卷中不会涉及姓名或其他隐私问题，所有问题均没有对错之分，请按照您的实际情况认真回答，十分感谢！ [组图共3张] 原图 ,无,2020-01-22 22:30,广州超话,1,0,1,无
IqI8Lj8HA,王小葵呐,女,安徽,452,202,王小葵呐:今天，我妈医院终于开会说了这次的病毒出去买了颗大白菜，一袋胡萝卜，连汤圆都买好了再加上家里本来就有肉啊啥的过年也就差不多这样了过年除了两边老家回一下就不出去了其实我连回老家走亲戚都不想去还好不用坐农村公交做好了长期家里蹲的准备想想之前计划的寒假烫头打耳洞看电影吃烤肉啥啥都没干，谁能想到这个年是这样过的呢，但是其实不去电影院，买个会员在家投屏看电影也不错希望身边的人平安，希望医护人员平安，希望国家早日控制疫情希望所有的人都好好的🙏🙏🙏 原图 ,无,2020-01-22 22:30,荣耀10 AI变色更潮美,3,0,4,无
IqI8ExVrb,上海播报,男,上海,310,11207,上海播报:【武汉市人民政府关于在公共场所实施佩戴口罩有关措施的通告】为进一步落实国家及湖北省对新型冠状病毒感染的肺炎疫情防控工作的部署，加强公共场所管理，切断病毒的传播途径，防止新型冠状病毒感染的肺炎疫情传播扩散，依照《中华人民共和国传染病防治法》《中华人民共和国突发事件应对法》《突发公共卫生事件应急条例》《公共场所卫生管理条例》等有关法律法规的规定，经研究，决定在我市公共场所实施佩戴口罩的控制措施，现将有关事项通告如下:发布了头条文章：《武汉市人民政府关于在公共场所实施佩戴口罩有关措施的通告》（武汉发布）  #武汉身边事##上海播报# http://t.cn/A6vs0C6x ,无,2020-01-22 22:30,iPhone客户端,1,0,0,无
IqI8A5Bkl,七环视频,男,上海,240,3122394,七环视频:【#直击广东口罩生产#：工人加班尽量准备，严查抬价控价】1月22日，广东深圳。受新型肺炎疫情影响，市面各类口罩热销甚至断货，口罩需求增加。一名口罩生产厂家告诉澎湃新闻，工人都放假过年了，头疼赶不出货。20名工人正加班生产，尽量准备，不管怎么样都要供应上。另一厂家称，目前通知代理商放货，同时严查各区域代理控价抬价。#口罩商3倍工资让回厂加班# http://t.cn/A6vsQWod http://t.cn/A6vsQWWq ,无,2020-01-22 22:30,微博 weibo.com,19,2,1,无
IqI8zdmvQ,新浪科技,女,北京,2224,24379876,新浪科技:【向一线医护致敬！#全国多地医院取消休假抗击疫情#】近日，全国多地确诊新型冠状病毒肺炎病例，#钟南山# 再战防疫最前线，两张照片令人肃然起敬。面对疫情，广州第八人民医院空出5层楼，全体取消休假待命；萍乡赣西肿瘤医院发布倡议书，不到5分钟就收到25位志愿者报名……#马云致敬医护人员# #工信部紧急协调口罩生产# http://t.cn/A6vsG7AU ,无,2020-01-22 22:30,微博 weibo.com,25023,670,751,无
IqI8ruHHf,湖南政法,男,湖南,1044,50873,湖南政法:【不漏一车不漏一人！#武汉对进出城车辆人员实施疫情排查#】#武汉排查进出城车辆人员#为有效应对新型冠状病毒感染的肺炎疫情，武汉市决定即日起（22日）全市启动进出城道口重大疫情排查防控工作，依法依规对过往车辆及人员实施疫情排查防控。市指挥部要求各区依托全市公安检查站设置疫情检测点，严格筛查检测，坚决防止疫情输出扩散风险。http://t.cn/A6vsfuCa http://t.cn/EhGn2gw 显示地图 原图 ,http://t.cn/EhGn2gw,2020-01-22 22:29,小米6X 拍人更美,2,0,0,无
IqI8psS0x,乔11Minoz,女,江苏,111,51,乔11Minoz:#钟南山肯定新型冠状病毒肺炎人传人##北京朝阳医院眼科大夫被砍# 当边疆战乱，国民的安全受到威胁，是战士们用自己的身躯冲在最前沿，抛头颅洒热血…这里面没有你；当疫情泛滥，百姓的生命受到威胁，是医护们用自己的身躯冲在最前线，冒着被感染的生命危险…这里面没有你；……当战争被平息了、疫情被控制了，你们出来了，不是鲜花，不是掌声，而是一把明晃晃的大刀，一把砍向曾经拯救过无数生命、未来还需要拯救无数生命的的人的大刀，一把砍断一个家庭一个医院乃至一个国家未来希望的大刀……药物拯救不了你，文字唤醒不了你，真情暖化不了你……“大智慧”的“人类”，慢慢的，自生自灭吧！ 原图 ,无,2020-01-22 22:29,iPhone客户端,1,0,0,无
IqI8oiROq,互联网电商头条,男,北京,652,1095065,互联网电商头条:【保证供应，#94年小伙为发口罩放弃婚假#】因为新型冠状病毒疫情，口罩供应紧张，很多电商平台商家都开启了春节加班模式，想尽办法保障供应，94年的小柳原本要和新婚妻子回家过年，在接到店铺人手不足的通知后，主动放弃婚假退掉车票，投入到保障口罩供应的工作中。据悉昨晚起，淘宝向平台上的所有商家发出公告，要求平台上所有口罩绝不允许涨价，同时启动官方专项补贴，保证消费者能买到价格实惠的品质正品的口罩。http://t.cn/A6vs2KOJ ,无,2020-01-22 22:29,无,100,9,11,无
IqI8jiCxU,宝乐乐小盆友,女,香港,1,27,宝乐乐小盆友:1.22因为新型肺炎，姑姥姥和二姥爷都来不了我们家过年了，二姑一家也不来了，姥爷好失落啊，妈妈也觉得没意思，今年过年又我们几个人窝在家里了，乐乐也因为不能老出去玩，在家情绪低落，但是也没啥好办法，毕竟n95口罩还没到，就算是到了也不安全，你小，喜欢到处乱摸，然后也爱不洗手，偶尔不洗手就吃东西，干脆不给你出屋了，看看年后情况如何，要是疫情还是没得到控制，那妈妈都不打算给你去幼儿园了，幼儿园管理不严格，孩子们有一个感冒的，基本上就传染开了，这学期期末亲子会，你们班级算你才去了15个孩子，反正这学期你也是经常被传染感冒发烧的，所以这个情况要观望一下才行！🙏希望这波疫情赶紧过去！全国人民都安全平安！🙏 ,无,2020-01-22 22:29,iPhone客户端,0,0,0,无
IqI6n1F8T,游侠Xiaopeng,男,广东,697,12062,游侠Xiaopeng:22日，#武汉要求全市在公共场合佩戴口罩#：各公共场所经营者应当要求进入其场所的顾客佩戴口罩后方可进入其经营的公共场所，并在场所入口处设置醒目、清晰的佩戴口單的提示；对未佩戴口罩进入场所者应当予以劝阻，对不听劝阻的人员，由各相关主管部门按照各自职责依法处理。构成违反治安管理行为的，由公安机关依法予以处罚；构成犯罪的，依法追究刑事责任——有两个问题问武汉市政府：1、疫情是否真的必须全民戴口罩那么严重？2、政府是否能调配足够的、有效阻隔新型冠状病毒的口罩发放给市民或者投放到市场？ 原图 ,无,2020-01-22 22:24,Android,0,0,0,无
IqI6erUqx,法治四川,男,四川,3574,1287145,法治四川:【#武汉对进出城车辆及人员实施疫情排查#】1月22日，记者从武汉市新型冠状病毒感染的肺炎疫情防控指挥部获悉，为有效应对新型冠状病毒感染的肺炎疫情，武汉市决定即日（22日）起全市启动进出城道口重大疫情排查防控工作，依法依规对过往车辆及人员实施疫情排查防控。市指挥部要求各区依托全市公安检查站设置疫情检测点，严格筛查检测，坚决防止疫情输出扩散风险。（长江日报）http://t.cn/A6vsxFyq @人民日报 原图 ,无,2020-01-22 22:24,依法治省办Android,0,0,0,无
IqI6dgNQj,宋中清主任律师,男,北京,9971,200482,宋中清主任律师:#点滴医事[超话]##新型冠状病毒肺炎# @成都商报 【钟南山：#仅用两周定位新型冠状病毒#， 有信心不会非典重演！】#医生说病# 国家卫健委高级别专家组组长钟南山20日接受采访时表示，此次肺炎疫情仅用两周时间就定位了新型冠状病毒，加上很好的监控和隔离制度，有信心不会重复17年前的非典。大家一定要注意防护，但也不要过度恐慌，要有信心，转发告诉更多人！http://t.cn/A6vekg0t #钟南山# http://t.cn/AinkFt5u http://t.cn/AinkFt5u 显示地图 ,http://t.cn/AinkFt5u,2020-01-22 22:24,点滴医事超话,11,0,14,无
IqI66b1B1,周口同城会,男,河南,677,356306,周口同城会:#同城览天下##美国爆发乙型流感# 【美国爆发了四十年来最大规模乙型流感，已造成6600人死亡】据美国疾病预防控制中心（CDC）最新数据 : 感染者超过1300万，50州有48州发现疫情，人口稠密的加利福尼亚、纽约和华盛顿疫情空前严重！！请在美华人务必保护好自己，做好相关防护工作（北京晚报） http://t.cn/A6vsMKdk http://t.cn/RyhirfI 显示地图 ,#美国爆发乙型流感#,2020-01-22 22:23,Android,3,0,5,无
IqI616DcP,clm1111,女,湖南,1523,713,clm1111:我结婚那年恰好赶上非典，更戏剧性的是婚礼第二天，M先生开始高烧不退，咳嗽，肺部有阴影，作为疑似患者立马被关进了湘雅隔离区。当时整层楼就住着他一个人，不允许任何人探望，现在想起来都觉得命大。现在疫情这么严重，今天在街上和地铁上看到戴口罩的居然寥寥无几，而且戴口罩的几乎都是年轻人，真的看得我捉急。 ,无,2020-01-22 22:23,HUAWEI Mate 20,0,0,8,无
IqI60yPbZ,lady童1981,女,湖北,99,92,lady童1981:真是一个特别的年。大宝早上知道取消了过年坐飞机去爸爸那过年的航班后，委屈巴巴的哭道，你们都是骗子，把自己一个人关在房间里哭。只能苦口婆心的跟她讲现在的疫情，许诺等以后能出门了坐飞机去上海迪士尼。最后把班主任老师在群里发的“不要离开武汉”的信息截图给她看，才从房间里出来。可怜爸爸要一个人在杭州值班过年了 http://t.cn/RZliukl 显示地图 [组图共3张] 原图 ,无,2020-01-22 22:23,小米8青春版 潮流旗舰,4,0,2,无
IqI5R4zOn,蟋蟀在墙角歌唱,男,湖北,2499,514,蟋蟀在墙角歌唱:#宜昌百里荒滑雪游#冠状疫情，联影在行动 为全面配合开展疫情防控工作，联影第一时间紧急成立了覆盖研发、生产、售后、临床培训及武汉各分公司、子公司的“全国健康安全应急指挥小组”，提供24小时不间断服务——确保已安装设备的正常运转、并将急用设备第一时间“加急派送”到各大医院的发热门诊、隔离病房。在过去的48小时内，联影已向全国发出近30台搭载可视化曝光功能的数字化移动DR和近20台低剂量CT。@广州微头条 @爱上宜昌 @行走旅行日记 @GEM鄧紫棋 @保剑锋 @陈立农 @佛系旅行君 @耿直美食家 @邓伦  http://t.cn/A6vsTmAF [组图共6张] 原图 ,无,2020-01-22 22:23,绿洲APP,2,0,0,无
IqI5IeCo5,蔡文政AngeloChoi,男,澳门,206,166149,蔡文政AngeloChoi:大家要做好最严峻的防疫措施，大家必须要非常警惕，减少到人多的地方，保持环境及个人卫生清洁，保持充分休息！国家一直支持我们澳门同胞的发展，给了我们最好的红利，现在国家面对疫情，我们必须团结一致抵抗疫情，一起宣导正能量，抵抗一些流言蜚语。我们全中国人民必须站起来，团结一致抵抗疫情，大家一起努力、加油！#武汉给市民朋友的一封信##武汉15名医务人员感染新型冠状病毒##武汉# 原图 ,无,2020-01-22 22:23,无,15,2,1,无
IqI5nhen9,幽灵716,女,天津,304,308,幽灵716:#中国有信心打赢新型肺炎疫情攻坚战#武汉的疫情到底到了多严重的地步？为什么只是出个差，旅个游，探个亲，短短两三天，回来就发现被感染？现在出行都是实名登记的，各个省市自己就不能排查一下吗？让疫情一而再再而三的传播，口罩卖空，人心惶惶。只是在道路排查真的有用吗？微博上有人说看到有的人为了出来，先吃退烧药，先不说这消息是否属实，各个省市的领导们你们不怕自己的管辖区出现快速传播的事吗？我们希望国家可以打赢这场“战役”，也相信国家。不过，最主要的还是自己的自觉性，从武汉回来的人要人人自查，不要祸及家人，不要等到病发了，传染出去了，再想着去医院救治。各个省市这个时候不是应该先自查，排查所有可能性，把风险降到最低吗？不应该强制执行吗？我们的阻击战到底应该如何“阻击”？ http://t.cn/Rz1EuPu 显示地图 ,http://t.cn/Rz1EuPu,2020-01-22 22:22,iPhone客户端,275,6,45,无
